512000,100,18
512000,1000,9
512000,10000,7
512000,100000,6
512000,1000000,8
512000,10000000,7
512000,100000000,7
1048576,100,31
1048576,1000,15
1048576,10000,14
1048576,100000,14
1048576,1000000,14
1048576,10000000,14
1048576,100000000,15
10485760,100,308
10485760,1000,144
10485760,10000,148
10485760,100000,127
10485760,1000000,126
10485760,10000000,131
10485760,100000000,128
52428800,100,1712
52428800,1000,787
52428800,10000,694
52428800,100000,727
52428800,1000000,695
52428800,10000000,759
52428800,100000000,788
104857600,100,3308
104857600,1000,1542
104857600,10000,1391
104857600,100000,1374
104857600,1000000,1347
104857600,10000000,1519
104857600,100000000,1663
