512000,10,97
512000,100,20
512000,1000,9
512000,10000,6
512000,100000,7
512000,1000000,7
512000,10000000,7
512000,100000000,7
1048576,10,198
1048576,100,40
1048576,1000,15
1048576,10000,14
1048576,100000,14
1048576,1000000,15
1048576,10000000,14
1048576,100000000,15
10485760,10,1994
10485760,100,306
10485760,1000,145
10485760,10000,128
10485760,100000,125
10485760,1000000,128
10485760,10000000,143
10485760,100000000,136
52428800,10,9586
52428800,100,1864
52428800,1000,902
52428800,10000,671
52428800,100000,726
52428800,1000000,675
52428800,10000000,741
52428800,100000000,760
104857600,10,19013
104857600,100,3269
104857600,1000,1598
104857600,10000,1452
104857600,100000,1336
104857600,1000000,1383
104857600,10000000,1516
104857600,100000000,1941
